,Quarter,Topic 1,Topic 2,Topic 3,Topic 4,TraderJoe
0,Q1-18,"['joe', 'trader', 'order', 'eat', 'love', 'mini', 'unique', 'one', 'hit', 'imagine']","['chocolate', 'cookie', 'good', 'white', 'tj', 'shortbread', 'star', 'season', 'seasonal', 'available']","['bar', 'size', 'texture', 'trader', 'joe', 'taste', 'buy', 'love', 'good', 'chocolate']","['chocolate', 'eat', 'box', 'enjoy', 'bite', 'white', 'love', 'recommend', 'flavor', 'honey']",0.46302
1,Q2-18,"['cookie', 'great', 'need', 'calorie', 'craving', 'fill', 'inventory', 'choc', 'w', 'small']","['chocolate', 'break', 'taste', 'great', 'candy', 'awful', 'expiration', 'dry', 'date', 'close']","['love', 'buy', 'box', 'expire', 'r', 'sweet', 'month', 'afternoon', 'thin', 'bc']","['good', 'trader', 'joe', 'nice', 'casual', 'fresh', 'gathering', 'gift', 'hostess', 'make']",0.368295
2,Q3-18,"['taste', 'delicious', 'good', 'box', 'chocolate', 'quality', 'supermarket', 'money', 'poor', 'weretoo']","['eat', 'sweet', 'delish', 'break', 'banana', 'perfect', 'pudding', 'size', 'need', 'wafer']","['eat', 'ration', 'yum', 'household', 'great', 'taste', 'arrive', 'melt', 'good', 'delicious']","['want', 'arrive', 'taste', 'delicious', 'good', 'manage', 'local', 'joe', 'find', 'different']",0.538954545
3,Q4-18,"['box', 'fresh', 'easy', 'counter', 'desk', 'distribute', 'set', 'ready', 'access', 'crispy']","['amazon', 'store', 'enjoy', 'buy', 'great', 'cookie', 'joe', 'rip', 'price', 'mean']","['love', 'product', 'treater', 'trick', 'delivery', 'speedy', 'description', 'describe', 'great', 'delicious']","['cookie', 'box', 'trader', 'guess', 'purchase', 'want', 'fresh', 'yummy', 'delicious', 'buy']",0.598926667
4,Q1-19,"['candy', 'delicious', 'love', 'yummy', 'product', 'trader', 'joe', 'het', 'live', 'awesome']","['chocolate', 'fresh', 'christmas', 'date', 'kid', 'good', 'delicious', 'box', 'november', 'husband']","['order', 'great', 'package', 'item', 'hard', 'tasty', 'cookie', 'like', 'coffee', 'chocolate']","['chocolate', 'holiday', 'find', 'good', 'like', 'love', 'treat', 'lucky', 'free', 'hit']",0.503118182
5,Q2-19,"['great', 'personnel', 'man', 'delivery', 'woman', 'stocking', 'acquaintance', 'gift', 'etc', 'local']","['flavor', 'time', 'buy', 'box', 'chocolate', 'like', 'sale', 'regular', 'reorder', 'favorite']","['box', 'eat', 'try', 'end', 'omg', 'grandkid', 'guy', 'get', 'stop', 'hide']","['good', 'joe', 'trader', 'little', 'taste', 'caramel', 'bit', 'food', 'juicy', 'nutty']",0.478747826
6,Q3-19,"['piece', 'crumble', 'dissapointed', 'icecream', 'break', 'sprinkle', 'good', 'love', 'dislike', 'finish']","['good', 'love', 'arrive', 'order', 'product', 'price', 'awesome', 'market', 'perfect', 'dislike']","['cookie', 'arrive', 'shipping', 'great', 'packing', 'star', 'wafer', 'crumb', 'milk', 'way']","['cookie', 'box', 'crush', 'open', 'disappointed', 'delicious', 'snaps', 'triple', 'gi', 'thin']",0.272027273
7,Q4-19,"['chocolate', 'good', 'eat', 'buy', 'watch', 'gift', 'love', 'give', 'small', 'size']","['bar', 'trader', 'love', 'joe', 'candy', 'melt', 'year', 'hit', 'kid', 'stale']","['time', 'box', 'like', 'packet', 'come', 'cookie', 'open', 'individual', 'miss', 'look']","['great', 'chocolate', 'love', 'candy', 'taste', 'find', 'favorite', 'eat', 'one', 'shipping']",0.511315789
8,Q1-20,"['great', 'expire', 'joe', 'trader', 'friend', 'quality', 'item', 'buy', 'try', 'good']","['delicious', 'good', 'buy', 'cookie', 'trader', 'joe', 'costco', 'daughter', 'wonderful', 'price']","['great', 'candy', 'joe', 'trader', 'taste', 'order', 'piece', 'break', 'small', 'arrive']","['chocolate', 'white', 'love', 'crush', 'wonderful', 'bar', 'delicious', 'box', 'product', 'purchase']",0.438609375
9,Q2-20,"['chocolate', 'delicious', 'buy', 'provide', 'make', 'taste', 'buttery', 'crave', 'eat', 'joe']","['get', 'way', 'open', 'bar', 'trader', 'joe', 'one', 'come', 'box', 'think']","['box', 'melt', 'chocolate', 'product', 'arrive', 'bad', 'go', 'cool', 'edible', 'content']","['flavor', 'cookie', 'good', 'waffle', 'defective', 'think', 'product', 'taste', 'joe', 'trader']",0.336725
10,Q3-20,"['break', 'come', 'cookie', 'product', 'arrive', 'box', 'chocolate', 'stale', 'mother', 'provide']","['melt', 'arrive', 'shape', 'got', 'great', 'throw', 'package', 'like', 'step', 'came']","['order', 'taste', 'item', 'open', 'information', 'product', 'bar', 'migraine', 'discontinue', 'manufacturer']","['love', 'chocolate', 'candy', 'price', 'flavor', 'know', 'favorite', 'waxy', 'company', 'distinct']",0.16755
11,Q4-20,"['de', 'los', 'taste', 'chocolates', 'joe', 'trader', 'year', 'caja', 'que', 'entreguen']","['product', 'chocolate', 'rain', 'love', 'eat', 'want', 'deliver', 'york', 'water', 'quality']","['delicious', 'good', 'arrive', 'gift', 'christmas', 'box', 'expect', 'cookie', 'candy', 'great']","['bar', 'love', 'find', 'box', 'chocolate', 'favorite', 'swiss', 'small', 'flavor', 'purchase']",0.314282927
12,Q1-21,"['good', 'great', 'taste', 'buy', 'chocolate', 'treat', 'time', 'little', 'store', 'european']","['chocolate', 'bar', 'white', 'gift', 'piece', 'trader', 'joe', 'good', 'set', 'favorite']","['delicious', 'size', 'chocolate', 'perfect', 'great', 'order', 'creamy', 'share', 'love', 'break']","['chocolate', 'bar', 'milk', 'nougat', 'honey', 'bit', 'white', 'joe', 'triangular', 'gift']",0.575417021
13,Q2-21,"['chocolate', 'melt', 'love', 'box', 'great', 'flavor', 'deliver', 'find', 'buy', 'delicious']","['taste', 'good', 'coffee', 'smell', 'cookie', 'bad', 'oh', 'instant', 'eat', 'try']","['flavor', 'coffee', 'joe', 'trader', 'love', 'cookie', 'taste', 'buy', 'good', 'smell']","['bar', 'chocolate', 'box', 'trader', 'joe', 'pack', 'buy', 'taste', 'ice', 'yummy']",0.502751667
14,Q3-21,"['chocolate', 'good', 'white', 'flavor', 'trader', 'joe', 'ship', 'melt', 'bar', 'arrive']","['love', 'good', 'mountain', 'chocolate', 'come', 'delicious', 'break', 'thank', 'gold', 'picture']","['pack', 'melt', 'chocolate', 'day', 'ice', 'hot', 'box', 'temperature', 'one', 'product']","['ice', 'pack', 'chocolate', 'box', 'delicious', 'joe', 'trader', 'eat', 'product', 'order']",0.39278
15,Q4-21,"['good', 'bar', 'eat', 'buy', 'go', 'chocolate', 'year', 'want', 'sell', 'pack']","['great', 'good', 'joe', 'trader', 'bar', 'price', 'buy', 'delicious', 'small', 'box']","['chocolate', 'buy', 'good', 'cookie', 'one', 'stocking', 'stuffer', 'big', 'white', 'taste']","['love', 'chocolate', 'pack', 'trader', 'joe', 'product', 'milk', 'like', 'flavor', 'favorite']",0.462469231
16,Q1-22,"['condition', 'perfect', 'time', 'delicious', 'box', 'good', 'friend', 'fresh', 'gift', 'way']","['love', 'chocolate', 'bar', 'box', 'family', 'great', 'joe', 'trader', 'wheat', 'eat']","['chocolate', 'gift', 'product', 'order', 'quality', 'love', 'pack', 'great', 'thing', 'service']","['bar', 'chocolate', 'love', 'candy', 'trader', 'good', 'joe', 'time', 'gift', 'buy']",0.619709333
17,Q2-22,"['joe', 'trader', 'love', 'cookie', 'milk', 'good', 'snack', 'eat', 'favorite', 'cream']","['eat', 'cream', 'good', 'cookie', 'bar', 'price', 'love', 'year', 'enjoy', 'like']","['chocolate', 'great', 'taste', 'perfect', 'delicious', 'cream', 'cookie', 'love', 'pack', 'family']","['smell', 'taste', 'melt', 'well', 'fill', 'receive', 'chocolate', 'good', 'lot', 'crunchy']",0.693533168
18,Q3-22,"['love', 'delicious', 'milk', 'cookie', 'snack', 'favorite', 'trader', 'good', 'joe', 'eat']","['chocolate', 'melt', 'delicious', 'thank', 'course', 'good', 'peanut', 'butter', 'cream', 'perfect']","['joe', 'trader', 'love', 'milk', 'cookie', 'favorite', 'snack', 'stuff', 'double', 'great']","['trader', 'joe', 'cookie', 'double', 'love', 'good', 'stuff', 'perfect', 'chocolate', 'like']",0.66256621
19,Q4-22,"['joe', 'trader', 'cookie', 'love', 'double', 'stuff', 'good', 'milk', 'favorite', 'eat']","['trader', 'joe', 'cookie', 'love', 'milk', 'review', 'promotion', 'collect', 'good', 'taste']","['box', 'product', 'bar', 'order', 'receive', 'gift', 'come', 'open', 'chocolate', 'think']","['cookie', 'recommend', 'taste', 'good', 'love', 'like', 'cream', 'get', 'perfect', 'great']",0.692232134
20,Q1-23,"['sweet', 'like', 'eat', 'cookie', 'treat', 'little', 'bit', 'butter', 'peanut', 'love']","['trader', 'joe', 'cookie', 'love', 'good', 'eat', 'favorite', 'milk', 'great', 'snack']","['cookie', 'trader', 'joe', 'love', 'milk', 'good', 'cream', 'chocolate', 'snack', 'perfect']","['trader', 'joe', 'milk', 'love', 'good', 'cookie', 'eat', 'snack', 'time', 'glass']",0.776133098
21,Q2-23,"['good', 'trader', 'joe', 'snack', 'milk', 'love', 'glass', 'quick', 'different', 'dessert']","['stuff', 'cookie', 'love', 'good', 'taste', 'double', 'favorite', 'trader', 'joe', 'eat']","['great', 'double', 'filling', 'idea', 'thing', 'delight', 'think', 'splurge', 'good', 'chocolate']","['trader', 'joe', 'great', 'amazing', 'love', 'like', 'stuf', 'variety', 'perfect', 'bring']",0.79120625
