,Quarter,Topic 1,Topic 2,Topic 3,Oreo
0,Q1-18,,,"Snack Quality (1) [('good', 1), ('snack', 1)]",0.2202
1,Q2-18,,,"Value for Money (1) [('great', 1), ('buy', 1)]",0.31245
2,Q3-18,"Kids' Favorites (1) [('kid', 1), ('favorite', 1)]",,"Freshness and Taste (1) [('oreos', 1), ('wrong', 1), ('order', 1), ('amazon', 1), ('fresh', 1), ('arrive', 1), ('package', 1), ('damage', 1), ('recommend', 1), ('dunk', 1)]",0.67165
3,Q4-18,"Shipping Damages (2) [('send', 1), ('brother', 1), ('cause', 1), ('hospital', 1), ('love', 1), ('box', 1), ('destroy', 1), ('arrival', 1), ('cookie', 1), ('crush', 1)]","Irrelevant (1) [('stop', 1), ('eat', 1), ('help', 1)]","Party and Price (2) [('like', 1), ('oreos', 1), ('sorry', 1), ('america', 1), ('arrive', 1), ('time', 1), ('party', 1), ('perfect', 1), ('size', 1), ('great', 1)]",0.46454
4,Q1-19,"Long-lasting Cookies (1) [('cookie', 2), ('arrive', 1), ('fresh', 1), ('unbroken', 1), ('surprised', 1), ('find', 1), ('nabisco', 1), ('long', 1), ('time', 1), ('american', 1)]","Snacks for Work (2) [('lose', 1), ('bet', 1), ('ante', 1), ('da', 1), ('bears', 1), ('super', 1), ('bowl', 1), ('need', 1), ('snack', 1), ('long', 1)]","Promises and College (2) [('like', 1), ('daughter', 1), ('college', 1), ('happy', 1), ('deliver', 1), ('date', 1), ('promise', 1)]",0.47184
5,Q2-19,"Students and Taste (9) [('love', 3), ('stale', 2), ('good', 2), ('student', 2), ('great', 2), ('complaint', 2), ('taste', 1), ('oreos', 1), ('cookie', 1), ('come', 1)]","Family and Packaging (8) [('stuff', 6), ('family', 4), ('package', 3), ('favorite', 3), ('oreo', 3), ('yummy', 3), ('center', 3), ('cream', 3), ('mega', 3), ('disappoint', 3)]","Favorite Cream (5) [('favorite', 9), ('cream', 9), ('cookie', 7), ('original', 6), ('extra', 6), ('white', 6), ('yummy', 6), ('look', 3), ('picture', 3), ('tell', 3)]",0.459877273
6,Q3-19,"Packaging and Taste (12) [('package', 10), ('oreo', 9), ('pack', 9), ('cookie', 8), ('eat', 7), ('snack', 7), ('little', 6), ('like', 4), ('box', 4), ('taste', 4)]","Portion Control (15) [('pack', 16), ('cookie', 13), ('box', 9), ('snack', 8), ('kid', 8), ('perfect', 7), ('love', 7), ('size', 6), ('little', 6), ('package', 5)]","Freshness and Damage (6) [('cookie', 3), ('broken', 2), ('fresh', 2), ('oreos', 2), ('box', 2), ('gotten', 1), ('couple', 1), ('time', 1), ('tasting', 1), ('seal', 1)]",0.423457576
7,Q4-19,"Christmas Treats (6) [('delicious', 2), ('treat', 2), ('christmas', 2), ('cookie', 2), ('church', 1), ('bridges', 1), ('run', 1), ('bag', 1), ('lunch', 1), ('homeless', 1)]","International Quality (5) [('little', 2), ('double', 1), ('stuf', 1), ('better', 1), ('granddaughter', 1), ('birthday', 1), ('love', 1), ('horrible', 1), ('expect', 1), ('amazon', 1)]","Great for Lunch (6) [('great', 5), ('lunch', 3), ('el', 2), ('add', 1), ('school', 1), ('portion', 1), ('size', 1), ('want', 1), ('eat', 1), ('share', 1)]",0.472252941
8,Q1-20,"Oreo Preferences (12) [('oreo', 4), ('cookie', 4), ('pack', 4), ('order', 3), ('cream', 2), ('product', 2), ('open', 2), ('break', 2), ('like', 2), ('milk', 2)]","Sweet Fillings (18) [('cookie', 13), ('love', 9), ('good', 5), ('sweet', 5), ('oreos', 5), ('filling', 5), ('chocolate', 5), ('oreo', 4), ('great', 4), ('buy', 4)]","Misleading Advertising (13) [('box', 10), ('cookie', 8), ('break', 3), ('good', 2), ('size', 2), ('oreo', 2), ('way', 2), ('order', 2), ('mega', 2), ('stuf', 2)]",0.155460465
9,Q2-20,"Packaging and Quality (127) [('cookie', 69), ('oreo', 34), ('great', 27), ('box', 26), ('break', 25), ('love', 24), ('pack', 21), ('package', 20), ('good', 20), ('oreos', 20)]","Double Stuffed Oreos (110) [('double', 74), ('pack', 57), ('stuff', 55), ('oreos', 51), ('oreo', 48), ('order', 44), ('regular', 37), ('package', 34), ('cookie', 33), ('receive', 33)]","False Advertising (275) [('box', 458), ('receive', 142), ('say', 94), ('pack', 82), ('cookie', 68), ('order', 66), ('picture', 55), ('false', 53), ('description', 52), ('advertising', 50)]",0.049353711
10,Q3-20,"Packaging and Love (72) [('cookie', 28), ('oreo', 24), ('package', 23), ('love', 17), ('stuff', 16), ('oreos', 14), ('double', 12), ('great', 10), ('break', 7), ('yummy', 7)]","Great Taste (89) [('cookie', 50), ('great', 28), ('break', 26), ('oreos', 23), ('good', 17), ('package', 16), ('pack', 13), ('buy', 12), ('order', 11), ('like', 11)]","Cravings and Time (36) [('love', 17), ('cookie', 14), ('pack', 8), ('double', 8), ('taste', 8), ('like', 7), ('oreo', 7), ('stuff', 7), ('filling', 7), ('time', 6)]",0.32990203
11,Q4-20,"Order and Flavor (27) [('order', 9), ('milk', 6), ('cookie', 5), ('delicious', 5), ('find', 4), ('box', 4), ('taste', 3), ('pack', 3), ('flavor', 3), ('stuff', 3)]","Freshness and Middle (27) [('good', 17), ('cookie', 5), ('eat', 4), ('box', 4), ('oreos', 4), ('day', 4), ('love', 4), ('stuff', 4), ('fresh', 3), ('package', 3)]","Family and Store (62) [('cookie', 25), ('great', 18), ('oreo', 15), ('love', 14), ('oreos', 12), ('price', 10), ('package', 10), ('taste', 9), ('family', 8), ('store', 6)]",0.369518966
12,Q1-21,"Good and Stuffed (64) [('good', 29), ('oreos', 25), ('cookie', 20), ('oreo', 13), ('stuff', 12), ('double', 11), ('love', 10), ('taste', 8), ('price', 7), ('package', 6)]","Great Value (37) [('great', 12), ('oreo', 11), ('cookie', 10), ('buy', 10), ('price', 8), ('take', 6), ('taste', 6), ('break', 6), ('say', 5), ('flavor', 5)]","Fresh and Broken Cookies (44) [('cookie', 18), ('love', 11), ('package', 10), ('oreo', 10), ('fresh', 9), ('kid', 8), ('oreos', 6), ('store', 6), ('eat', 6), ('arrive', 6)]",0.36462
13,Q2-21,"Good Packaging (73) [('cookie', 39), ('good', 25), ('pack', 21), ('oreos', 21), ('stuff', 17), ('love', 16), ('price', 14), ('double', 14), ('oreo', 13), ('package', 12)]","Great Taste (109) [('cookie', 72), ('great', 36), ('oreo', 34), ('package', 28), ('taste', 25), ('break', 25), ('love', 20), ('oreos', 19), ('price', 16), ('good', 16)]","Coffee Flavor (68) [('coffee', 32), ('flavor', 32), ('taste', 21), ('good', 20), ('buy', 16), ('love', 13), ('oreos', 13), ('cookie', 10), ('fresh', 10), ('delicious', 9)]",0.3521528
14,Q3-21,"Cookie Variety (85) [('cookie', 62), ('stuff', 24), ('break', 23), ('double', 20), ('package', 18), ('oreo', 17), ('oreos', 17), ('order', 16), ('fresh', 15), ('eat', 15)]","Family Time (39) [('good', 13), ('cookie', 11), ('price', 7), ('product', 6), ('love', 5), ('great', 5), ('size', 5), ('buy', 5), ('order', 4), ('pack', 4)]","Freshness and Delivery (56) [('great', 22), ('fresh', 18), ('taste', 13), ('oreo', 11), ('price', 11), ('delicious', 10), ('oreos', 8), ('love', 7), ('package', 7), ('buy', 7)]",0.260397222
15,Q4-21,"Crushed Cookies and Packaging (30) [('cookie', 20), ('package', 8), ('order', 7), ('crush', 7), ('milk', 5), ('oreo', 5), ('pack', 5), ('taste', 4), ('stale', 4), ('eat', 4)]","Love and Freshness (44) [('love', 17), ('great', 17), ('oreos', 12), ('pack', 11), ('good', 9), ('cookie', 8), ('fresh', 8), ('buy', 6), ('oreo', 5), ('price', 5)]","Perfect and Fresh Oreos (37) [('oreo', 16), ('cookie', 12), ('fresh', 8), ('perfect', 7), ('oreos', 7), ('delicious', 6), ('taste', 5), ('single', 4), ('break', 4), ('size', 4)]",0.305135135
16,Q1-22,"Love and Snack Variety (38) [('cookie', 18), ('love', 12), ('oreo', 12), ('pack', 9), ('great', 9), ('oreos', 8), ('taste', 6), ('good', 6), ('snack', 5), ('nice', 4)]","Double Stuffed Oreos and Price (27) [('oreos', 15), ('pack', 8), ('oreo', 7), ('cookie', 7), ('package', 7), ('order', 6), ('snack', 6), ('size', 5), ('double', 5), ('stuff', 5)]","Good Quality and Expectations (32) [('oreo', 13), ('good', 12), ('milk', 5), ('want', 4), ('love', 4), ('fresh', 4), ('product', 4), ('expect', 3), ('price', 3), ('like', 3)]",0.372192784
17,Q2-22,"Love and Favorite Snacks (164) [('cookie', 111), ('love', 95), ('good', 78), ('oreo', 57), ('milk', 51), ('favorite', 43), ('great', 40), ('snack', 36), ('oreos', 36), ('eat', 35)]","Chocolate and Cream (62) [('cookie', 26), ('oreo', 25), ('chocolate', 22), ('cream', 19), ('oreos', 15), ('taste', 14), ('good', 11), ('eat', 11), ('perfect', 10), ('love', 10)]","Milk and Yummy Snacks (52) [('love', 29), ('milk', 26), ('eat', 21), ('oreos', 20), ('cookie', 13), ('good', 12), ('snack', 12), ('taste', 11), ('box', 10), ('glass', 9)]",0.62623705
18,Q3-22,"Family and Double Stuffed Oreos (71) [('oreo', 41), ('cookie', 31), ('good', 29), ('love', 18), ('oreos', 17), ('double', 15), ('stuff', 15), ('like', 14), ('eat', 12), ('family', 12)]","Love and Milk (194) [('love', 125), ('cookie', 119), ('oreos', 86), ('double', 70), ('oreo', 69), ('stuff', 65), ('milk', 62), ('good', 53), ('eat', 47), ('favorite', 38)]","Great Value and Freshness (100) [('oreos', 30), ('great', 25), ('cookie', 25), ('good', 22), ('love', 18), ('pack', 17), ('price', 15), ('fresh', 15), ('buy', 14), ('store', 13)]",0.572803836
19,Q4-22,"Love and Double Stuffed Oreos (247) [('love', 143), ('oreos', 139), ('cookie', 137), ('good', 95), ('double', 95), ('oreo', 90), ('stuff', 78), ('milk', 56), ('cream', 54), ('eat', 50)]","Freshness and Price (87) [('cookie', 39), ('good', 30), ('oreo', 25), ('fresh', 18), ('buy', 16), ('taste', 15), ('milk', 15), ('know', 13), ('great', 12), ('price', 11)]","Flavor and Promotions (178) [('cookie', 145), ('oreo', 98), ('love', 90), ('milk', 70), ('review', 59), ('collect', 57), ('promotion', 57), ('oreos', 53), ('good', 51), ('flavor', 50)]",0.657259961
20,Q1-23,"Mint and New Experiences (5562) [('need', 221), ('know', 196), ('think', 189), ('try', 179), ('time', 154), ('flavor', 148), ('da', 146), ('today', 144), ('edition', 137), ('mint', 136)]","Love and Creamy Snacks (4373) [('love', 1007), ('cookie', 917), ('good', 866), ('milk', 831), ('oreo', 578), ('eat', 567), ('cream', 538), ('oreos', 469), ('stuff', 464), ('de', 443)]","Birthday Cakes and Happiness (4605) [('cooky', 502), ('cake', 363), ('birthday', 354), ('chocolate', 305), ('happy', 277), ('look', 229), ('want', 209), ('day', 205), ('get', 186), ('eat', 181)]",0.219905248
21,Q2-23,"Coffee and Unique Flavors (628) [('coffee', 43), ('follow', 31), ('flavor', 26), ('u', 26), ('mouth', 26), ('number', 25), ('juice', 25), ('expiration', 23), ('letter', 23), ('date', 21)]","Humor and Snack Time (635) [('love', 77), ('good', 65), ('cooky', 52), ('fool', 40), ('eat', 37), ('know', 29), ('joke', 27), ('milk', 26), ('butter', 26), ('want', 25)]","Milk and Ice Cream (588) [('milk', 72), ('cream', 60), ('need', 36), ('ice', 35), ('think', 34), ('stuff', 33), ('eat', 31), ('double', 27), ('like', 25), ('buy', 25)]",0.131814911
